age,gender,demographic_info,previous_search_history
51,female,"Suburban, Portland OR, multi-generational household, late-career, data analyst, homeowner, mid-income",compact furniture; personal training; budget planner; garden tools; online MBA
33,non-binary,"Suburban, Kansas City MO, married, college student, product manager, homeowner, mid-income",meal kit delivery; resume templates; kitchen renovation ideas; standing desk; student discounts
62,female,"Urban, Omaha NE, parent of three, freelancer, warehouse supervisor, renter, high-income",noise-canceling headphones; family vacation packages; family budgeting apps; online MBA; kitchen renovation ideas
35,female,"Urban, Charlotte NC, multi-generational household, new parent, consultant, renter, low-income",bike commuter gear; thrift stores; affordable childcare; farmers market; kids soccer gear
66,non-binary,"Small-town, Boston MA, parent of one, early-career, warehouse supervisor, renter, high-income",credit card rewards; remote jobs; wireless earbuds; family health insurance; compact furniture
50,non-binary,"Rural, New York NY, married, entrepreneur, accountant, renter, mid-income",dog grooming; high-yield savings; streaming services; free events near me; refinance calculator
68,male,"Small-town, Los Angeles CA, parent of two, career switcher, UX researcher, homeowner, low-income",brunch spots; meal kit delivery; compact furniture; electric vehicle incentives; kids dental plans
63,female,"Urban, Charlotte NC, cohabiting, entrepreneur, operations coordinator, renter, high-income",credit card rewards; bike commuter gear; yoga classes; pet-friendly apartments; boutique fitness classes
18,male,"Small-town, Madison WI, parent of one, graduate student, nurse, renter, low-income",baby registry; outdoor patio sets; interview prep; healthy meal plans; tax prep software
24,female,"Urban, Salt Lake City UT, multi-generational household, graduate student, customer support lead, homeowner, mid-income",student discounts; electric vehicle incentives; tax prep software; credit card rewards; compact furniture
64,non-binary,"Suburban, Irvine CA, multi-generational household, early-career, consultant, homeowner, low-income",family health insurance; refinance calculator; hybrid SUV tax credits; used car listings; kids soccer gear
22,female,"Small-town, Charlotte NC, parent of three, late-career, chef, renter, mid-income",backyard playsets; kids dental plans; used car listings; dog grooming; after-school programs
47,female,"Suburban, Kansas City MO, single, entrepreneur, project manager, homeowner, mid-income",nursery furniture; wireless earbuds; baby registry; dog grooming; family health insurance
37,male,"Suburban, St. Louis MO, parent of two, early-career, UX researcher, homeowner, mid-income",roadside assistance; local coffee shops; kids dental plans; streaming services; meal kit delivery
